CODIGO;DESCRIPCION;stock_total;costo_normal;precio_mayor_normal;precio_docena_normal;precio_unidad_normal;costo_distribuidor;precio_mayor_dist;precio_docena_dist;precio_unidad_dist
2056-G;FLORERO DE PLASTICO DE 29.5*10 CM;420;6.19;9.3;11.2;13.4;6.81;10.2;12.2;14.6
2057-M;FLORERO D PLASTICO DE 24.5*10 CM;560;4.57;6.9;8.3;10;5.03;7.5;9;10.8
2058-CH;FLORERO DE PLASTICO DE 19.5*10 CM;720;3.7;5.6;6.7;8;4.07;6.1;7.3;8.8
018-MA;MACETERO DE PLASTICO DE 37.5*23.5 CM;80;13.25;19.9;23.9;28.7;14.58;21.9;26.3;31.6
4004-HN;FLORERO DE PLASTICO DE 27*22.5 CM;300;1.1;1.7;2;2.4;1.21;1.8;2.2;2.6
2007A-HR;FLORERO DE PLASTICO DE 22*13.5 CM;900;0.64;1;1.2;1.4;0.7;1.1;1.3;1.6
PL-1716;ADORNO DE PLASTICO TIPO REJA DE 22*12*55.5 CM;8;16.55;24.8;29.8;35.8;18.21;27.3;32.8;39.4
E-H-VC;HOJAS ARTIFICIALES DE 15 CM VERDE CLARO SET/10 PCS;400;26.61;39.9;47.9;57.5;29.27;43.9;52.7;63.2
E-H-VO;HOJAS ARTIFICIALES DE 15 CM VERDE OSCURO SET/10 PCS;200;26.61;39.9;47.9;57.5;29.27;43.9;52.7;63.2
HY-03;HOJA ARTIFICIAL EN VARA DE PLASTICO DE 67 CM SET/12 PCS;2000;0.35;6.3;7.6;9.1;0.39;0.6;0.7;0.8
OY-CH;HOJAS ARTIFICIALES DE 1 MT;9600;1.08;1.6;1.9;2.3;1.19;1.8;2.2;2.6
FAR-J;FLOR ARTIFICIAL ORQUIDEA DE 100 CM;1500;3.55;5.3;6.4;7.7;3.91;5.9;7.1;8.5
RUY-CH;FLOR ARTIFICIAL EN VARA X 7 CABEZAS DE 40 CM;750;4.27;6.4;7.7;9.2;4.7;7;8.4;10.1
GRS7-02;FLOR ARTIFICIAL EN RAMO X 7 CABEZAS DE 50 CM;1428;5.76;8.6;10.3;12.4;6.34;9.5;11.4;13.7
TND-5000VA;ESTABILIZADOR, MARCA PLAL JUNLING, MODELO TND-5000VA, CON VOLTAJE DE 5000W;1;482.32;723.5;868.2;1041.8;530.55;795.8;955;1146
Q-40;BOLA DECORATIVA DE NAVIDAD DE 40 CM;51;67.38;101.1;121.3;145.6;74.12;111.2;133.4;160.1
Q-60;BOLA DECORATIVA DE NAVIDAD DE 60 CM;39;106.41;159.6;191.5;229.8;117.05;175.6;210.7;252.8
Q-80;BOLA DECORATIVA DE NAVIDAD DE 80 CM;24;156.06;234.1;280.9;337.1;171.67;257.5;309;370.8
Q-100;BOLA DECORATIVA DE NAVIDAD DE 100 CM;8;198.61;297.9;357.5;429;218.47;327.7;393.2;471.8
505-600W;BOMBA DE AIRE DE IMPULSO ELECTRICO;4;39.03;58.5;70.2;84.2;42.93;64.4;77.3;92.8
HTB;SOLDADO NOGAL TELESCOPICO ELECTRICO Y MUSICA LUMINOSA DE 160 CM (XM-2023067A);6;248.26;372.4;446.9;536.3;273.09;409.6;491.5;589.8
JIL;PEDESTAL DE PLASTICO DE 35*92 CM;180;42.55;63.8;76.6;91.9;46.81;70.2;84.2;101
JIL-78-G;MACETERO DE PLASTICO DE 42*33 CM;40;31.93;47.9;57.5;69;35.12;52.7;63.2;75.8
JIL-78-CH;MACETERO DE PLASTICO DE 34*26.5 CM ;40;16.34;24.5;29.4;35.3;17.97;27;32.4;38.9
FG-Q4;FLORERO DE PLASTICO DE 35*20.5*28 CM;80;27.66;41.5;49.8;59.8;30.43;45.6;54.7;65.6
YSJ;FLORERO DE PLASTICO DE 26*25 / 31*32 /37*38.5 CM (SET 3/PCS);40;83.71;125.6;150.7;180.8;92.08;138.1;165.7;198.8
FSY-1;FLORERO DE PLASTICO DE 41.5*24*58 CM;40;53.18;79.8;95.8;115;58.5;87.7;105.2;126.2
AB-240;ARBOL DE NAVIDAD DE 3 MTS (A/B);2;907.95;1361.9;1634.3;1961.2;998.75;1498.1;1797.7;2157.2
FA-2M;FAROL DE NAVIDAD DE 2 MTS;4;331.98;498;597.6;717.1;365.18;547.8;657.4;788.9
WLS-P48+8;"LUZ ESTROBOSCOPICA LED RGBW DE 48+8 CANALES PARA EVENTOS, CON DIMENSIONES DE 46*25*10 CM, CON UN VOLTAJE DE 36V Y UNA POTENCIA DE 200W (CONTIENE: LAMPARAS: 864 LED TRICOLOR SMD 5050 Y 96 LED BLANCOS; 1 CONTROL DMX512, AUTOMATICO CON CONTROL POR VOZ Y FUNCION RDM.


";8;163.16;244.7;293.6;352.3;179.48;269.2;323;387.6
YJ8392;RESOLUCION 1308-2024 JUGUETES BLOQUES DE CUBOS ARMABLES IMANTADOS  ;600;15.44;23.2;27.8;33.4;16.98;25.5;30.6;36.7
SW-HL10;LUZ LASER DE ANIMACION A TODO COLOR CON EFECTOS RGV DE 10W Y 30K CON BLUETOOTH. MARCA SAILWIN;2;2482.65;3724;4468.8;5362.6;2730.92;4096.4;4915.7;5898.8
SP-CSM2;MAQUINA DE CHISPAS FRIAS GIRATORIA DE DOBLE CABEZAL SP, CUENTA CON UNA POTENCIA DE SALIDA DE 1300W, CONTROL DMX512 Y CONTROL REMOTO INALAMBRICO. MARCA SPARK SPECIAL EFFECTS, MODELO SPARK: SP-CSM2;8;2340.79;3511.2;4213.4;5056.1;2574.87;3862.3;4634.8;5561.8
DJ-620;MAQUINA DE HUMO DE DOBLE ATOMIZADOR. MARCA DJPOWER, MODELO DJ-620;4;1347.73;2021.6;2425.9;2911.1;1482.5;2223.8;2668.6;3202.3
HW-IP4;MAQUINA DE BURBUJAS DE NIEBLA DE 4 CABEZALES A PRUEBA DE LLUVIA (CONTIENE: PANEL DE CONTROL DE LA MAQUINA, CONSOLA DE CONTROL DE LUZ, CONTROL REMOTO UNICO. MARCA DJPOWER, MODELO HW-IP4;1;9065.19;13597.8;16317.4;19580.9;9971.71;14957.6;17949.1;21538.9
BL-150;PELOTA INFLABLE DE 1.5 MTS;4;184.41;276.6;331.9;398.3;202.85;304.3;365.2;438.2
BL-120T;PELOTA INFLABLE DE 1.2 MTS;24;184.41;276.6;331.9;398.3;202.85;304.3;365.2;438.2
BL-150T;PELOTA INFLABLE DE 1.5 MTS;24;226.96;340.4;408.5;490.2;249.66;374.5;449.4;539.3
5738;RESOLUCION 3714-2025   JUEGO. DE MESA ROMPE HIELO  CON  BLOQUES HIELO, PINGUINOS, ROMPEHIELOS. DE PLASTICO 30*6.5*20.7CM;1200;5.91;8.9;10.7;12.8;6.5;9.8;11.8;14.2
70;"RESOLUCION 7103-2023 
CASA DIDACTICA CON BLOQUES PARA ENCAJAR DE MADERA, 27.2*20.2*19.3CM ";120;19.86;29.8;35.8;43;21.85;32.8;39.4;47.3
1036;RESOLUCION 7103-2023 SET DE BLOQUES CON FIGURAS GEOMETRICAS DE MADERA .  88*8*64CM;10;120.61;180.9;217.1;260.5;132.67;199;238.8;286.6
296;"RESOLUCION 7103-2023 
TABLERO COCODRILO CON BLOQUES PARA ENCAJAR DE MADERA. 31*11.5*13.5CM";180;12.07;18.1;21.7;26;13.28;19.9;23.9;28.7
295;"RESOLUCION 7103-2023 TABLERO ELEFANTE CON BLOQUES 
PARA ENCAJAR DE MADERA . 21*16.5*13.5CM
";180;12.07;18.1;21.7;26;13.28;19.9;23.9;28.7
1;"RESOLUCION 7103-2023 
TABLERO DE DAMAS DE MADERA. 23.5*4*20.7CM
";1040;9.93;14.9;17.9;21.5;10.92;16.4;19.7;23.6
649;"RESOLUCION 7103-2023 
TABLERO DE DAMAS DE MADERA .  19*5.5*19CM ";800;9.24;13.9;16.7;20;10.16;15.2;18.2;21.8
YY-62;RESOLUCION 7103-2023 JUEGO DE EQUILIBRIO LABERINTO CON BOLITA . 34.3*30.3*7.8CM;720;18.07;27.1;32.5;39;19.88;29.8;35.8;43
YL073;RESOLUCION 2440-2024  JGTE. DIDACTICOS ARBOL PISTA CON CARROS MULTIFUNCIONAL. 38*21*5.8CM;300;13.46;20.2;24.2;29;14.81;22.2;26.6;31.9
56;"RESOLUCION 7103-2023 
 SET DE BLOQUES DE COLORES PARA 
APILAR CON DADO DE MADERA. 26.5*8*8CM";300;6.75;10.1;12.1;14.5;7.43;11.1;13.3;16
0054-51;"RESOLUCION 7103-2023 SET DE BLOQUES PARA APILAR CON 
DADOS DE MADERA . 29*8*8CM";300;7.8;11.7;14;16.8;8.58;12.9;15.5;18.6
MWZ-3051;RESOLUCION 3704-2025  JUGUETE DIDACTICO DE MADERA ENCAJE TETRIZ KATAMINO.  33×19.8×5CM;1032;15.59;23.4;28.1;33.7;17.15;25.7;30.8;37
RYG10-224;FLOR ARTIFICIAL ROSA DE GINEBRA EN RAMO X 10 CABEZAS 40 CM;2160;8.89;13.3;16;19.2;9.78;14.7;17.6;21.1
RYG9-210;FLOR ARTIFICIAL ROSA EN RAMO X 9 CABEZAS 40 CM;750;9.58;14.4;17.3;20.8;10.54;15.8;19;22.8
