CODIGO;DESCRIPCION;stock_total;costo_normal;precio_mayor_normal;precio_docena_normal;precio_unidad_normal;costo_distribuidor;precio_mayor_dist;precio_docena_dist;precio_unidad_dist
RYG11-2025;FLOR ARTIFICIAL MAGNOLIA EN RAMO X 11 CABEZAS DE 42 CM;480;10.39;13.5;16.2;19.4;11.43;17.1;20.5;24.6
RYG9-301N;FLOR ARTIFICIAL JASPE DE OTOÑO EN RAMO X 9 CABEZAS DE 40 CM;576;9.34;11.8;14.2;17;10.27;15.4;18.5;22.2
RYG11-703N;FLOR ARTIFICIAL QIUJU EN RAMO X 11 CABEZAS DE 42 CM;960;8.52;11.1;13.3;16;9.37;14.1;16.9;20.3
RYG11-226N;FLOR ARTIFICIAL ROSAS DE TE DE OTOÑO X 11 CABEZAS DE 42 CM;672;9.74;12.5;15;18;10.71;16.1;19.3;23.2
RYG12-307N;FLOR ARTIFICIAL CLAVELES EN RAMO X 12 CABEZAS DE 42 CM;360;9.58;12.5;15;18;10.54;15.8;19;22.8
RYG9-228N;FLOR ARTIFICIAL COPO DE NIEVE EN RAMO X 9 CABEZAS DE 40 CM;576;9.74;12;14.4;17.3;10.71;16.1;19.3;23.2
RYG11-703N;FLOR ARTIFICIAL QIUJU EN RAMO X 11 CABEZAS DE 42 CM;180;8.52;11.1;13.3;16;9.37;14.1;16.9;20.3
KJL-01N;FLOR ARTIFICIAL DE PLASTICO DE 38CM;600;2.31;3.5;4.2;5;2.54;3.8;4.6;5.5
KJL-02N;FLOR ARTIFICIAL DE PLASTICO DE 38 CM;600;1.91;2.9;3.5;4.2;2.1;3.2;3.8;4.6
KJL-03N;FLOR ARTIFICIAL DE PLASTICO DE 38 CM;600;2.23;3.3;4;4.8;2.45;3.7;4.4;5.3
KJL-04N;FLOR ARTIFICIAL DE PLASTICO DE 38 CM;600;2.55;3.8;4.6;5.5;2.81;4.2;5;6
KJL-05N;FLOR ARTIFICIAL DE PLASTICO DE 38 CM;600;1.91;2.9;3.5;4.2;2.1;3.2;3.8;4.6
KJL-06N;FLOR ARTIFICIAL DE PLASTICO DE 38 CM;600;1.93;2.9;3.5;4.2;2.12;3.2;3.8;4.6
KJL-07N;FLOR ARTIFICIAL DE PLASTICO DE 38 CM;600;2.47;3.7;4.4;5.3;2.72;4.1;4.9;5.9
KJL-08N;FLOR ARTIFICIAL DE PLASTICO DE 38 CM;600;1.91;2.9;3.5;4.2;2.1;3.2;3.8;4.6
KJL-09N;FLOR ARTIFICIAL DE PLASTICO DE 38 CM;600;2.87;4.3;5.2;6.2;3.16;4.7;5.6;6.7
KJL-10N;FLOR ARTIFICIAL DE PLASTICO DE 63 CM;300;4.79;7.2;8.6;10.3;5.27;7.9;9.5;11.4
HS-06N;FLOR ARTIFICIAL EN RAMO X 7 CABEZAS DE 45 CM;480;5.42;8.1;9.7;11.6;5.96;8.9;10.7;12.8
TNK20-01;FLOR ARTIFICIAL EN VARA X 18 CABEZAS DE 55 CM;2000;2.9;4.4;5.3;6.4;3.19;4.8;5.8;7
TNK5-02;FLOR ARTIFICIAL EN RAMO CHICO DE 27 CM;1800;2.55;3.8;4.6;5.5;2.81;4.2;5;6
TNK5-03;FLOR ARTIFICIAL EN RAMO CHICO DE 28 CM;1800;3.03;4.5;5.4;6.5;3.33;5;6;7.2
TNK5-04;FLOR ARTIFICIAL EN RAMO CHICO DE 27 CM;1800;2.87;4.3;5.2;6.2;3.16;4.7;5.6;6.7
TNK5-05;FLOR ARTIFICIAL EN RAMO CHICO DE 25 CM;1800;1.83;2.7;3.2;3.8;2.01;3;3.6;4.3
RYG5-A;FLOR ARTIFICIAL EN RAMO X 5 CABEZAS DE 38 CM;3300;2.71;4.1;4.9;5.9;2.98;4.5;5.4;6.5
RYG5-B;FLOR ARTIFICIAL EN RAMO X 5 CABEZAS DE 38 CM;3300;2.39;3.6;4.3;5.2;2.63;3.9;4.7;5.6
RYG5-C;FLOR ARTIFICIAL EN RAMO X 5 CABEZAS DE 38 CM;3300;2.39;3.6;4.3;5.2;2.63;3.9;4.7;5.6
RYG9-BJ;FLOR ARTIFICIAL EN RAMO X 9 CABEZAS DE 44 CM;1950;7.33;11;13.2;15.8;8.06;12.1;14.5;17.4
RYG10-RS;FLOR ARTIFICIAL EN RAMO X 10 CABEZAS DE 46 CM;2250;6.78;10.2;12.2;14.6;7.46;11.2;13.4;16.1
RYG10-XA;FLOR ARTIFICIAL EN RAMO X 10 CABEZAS DE 38 CM;900;6.78;10.2;12.2;14.6;7.46;11.2;13.4;16.1
