CODIGO;DESCRIPCION;CANTIDAD (UND);COSTO UNITARIO S/.;PRECIO DE VENTA POR MAYOR S/.;PRECIO DE VENTA POR DOCENA S/.;PRECIO DE VENTA POR UNIDAD S/.;COSTO UNITARIO S/.;PRECIO DE VENTA POR MAYOR S/.;PRECIO DE VENTA POR DOCENA S/.;PRECIO DE VENTA POR UNIDAD S/.
Yl-02;CENTRO DE ENTRETEMIENTO AL AIRE LIBRE PARA DIVERSION DE NIÑOS (INCLUYE TOBOGANES, ESCALERA);1;4415.53;6623.3;7948;9537.6;4857.083;7285.6;8742.7;10491.2
WSH-R;LEON ROJO DE LANA CON LUCES;1;1902.05;2853.1;3423.7;4108.4;2092.255;3138.4;3766.1;4519.3
WSH-A;LEON AMARILLO DE LANA CON LUCES;1;1902.05;2853.1;3423.7;4108.4;2092.255;3138.4;3766.1;4519.3
TY-01N;SOMBRILLA CON LUCES 7 MTS DE DIAMETRO (INCLUYE BASES);4;7628.7;11443.1;13731.7;16478;8391.57;12587.4;15104.9;18125.9
EST-03;MODULO PARA PANTALLA LED (ESTRUCTURA DE ALUMINIO) DE 12 * 6 MTS;1;25265.45;37898.2;45477.8;54573.4;27791.995;41688;50025.6;60030.7
EST-04;ESTRUCTURA DE ALUMINIO PARA ESCENARIO CON ESCALERA DE 1220*1220 CM;1;21814.81;32722.2;39266.6;47119.9;23996.291;35994.4;43193.3;51832
PAN-24;PANTALLA LED EN GABINETE DE ALUMINIO FUNDIDO PARA EXTERIORES, INCLUYE ACCESORIOS  500*1000 MM  ;24;1086.98;1630.5;1956.6;2347.9;1195.678;1793.5;2152.2;2582.6
SML-01;LAMPARA DE PIE LED EN FORMA DE LLAMA DE 155*50 CM;12;132.48;198.7;238.4;286.1;145.728;218.6;262.3;314.8
SML-02;LAMPARA DE PIE LED EN FORMA DE FLOR DE PEONIA DE 260*270 CM;4;1005.4;1508.1;1809.7;2171.6;1105.94;1658.9;1990.7;2388.8
PE400X600-1;TRITURADORA DE PIEDRA DE 1500 MM*1640 MM*1660 MM, MODELO: PE400X600;1;57338.85;86008.3;103210;123852;63072.735;94609.1;113530.9;136237.1
